,party,sentence,primary_topic
967,BBB,"Bij wijzigen van bijvoorbeeld landschapskarakteristiek, (planologische) bestemming, habitat of beleidswaarde wordt een grondeigenaar verplicht vooraf geraadpleegd en om instemming gevraagd.",Environment
968,BBB,We creëren ruimte voor het ontwikkelen van nieuwe agrarische concepten en ondersteunen initiatieven en innovaties die bijdragen aan de verduurzaming van land- en tuinbouw.,Agriculture
969,BBB,Goede educatie over voedsel is essentieel om ook op termijn met de maatschappij een discussie op basis van feiten te kunnen voeren.,Agriculture
970,BBB,BBB vindt dat de overheid hierin een verantwoordelijkheid heeft en zorg moet dragen voor politiek neutrale educatie.,Education
971,BBB,"Nederland moet zich in Europa hardmaken voor het terugdraaien van het pulsverbod, omdat puls- visserij verduurzaamt: minder energieverbruik ten opzichte van traditionele visserijtechnieken.",Agriculture
972,BBB,Geen verbod op bodemberoerende visserij.,Agriculture
973,BBB,"Bodemberoering heeft een nihil effect op de zeebodem en valt in het niet in vergelijking met de beroering door natuurlijke oorzaken zoals bijvoorbeeld de stroming, stormen en de verstoring door windturbineparken.",Environment
974,BBB,RUIMTE OM TE ONDERNEMEN In wetgeving en aanpassing van regelgeving wordt rekening gehouden met langjarige investeringster- mijnen.,Domestic Commerce
975,BBB,"Op zekerheden verkregen via vergunningen moeten boeren, telers, tuinders en vissers decennia- lang kunnen bouwen.",Agriculture
976,BBB,Dat betekent ook dat de overheid een vergunning tijdig moet verlengen om onzekerheid bij ondernemers te voorkomen.,Domestic Commerce
977,BBB,"Ook voor maatschappelijke diensten in het verlengde van agrarische activiteiten, zoals natuurbeheer, educatie en onderhoud van landschapselementen dient de overheid zich op te stellen als langjarige partner en een reële vergoeding te bieden.",Environment
978,BBB,We zijn voorstander van een nationale agrarische grondbank die optimale ruimtelijke inzet van agra- risch areaal mogelijk maakt en primair ten dienste staat om de continuïteit van agrarische bedrijven te versterken.,Agriculture
979,BBB,De grond in deze bank wordt geoormerkt als agrarische grond en kan niet worden inge- zet voor andere beleidsdoelstellingen.,Environment
980,BBB,Boeren kunnen alleen meer grond per dier ter beschikking stellen als zij toegang hebben tot of kunnen beschikken over voldoende grond.,Environment
981,BBB,Er zijn succesvolle voorbeelden van samenwerkingen tussen boeren en terreinbeherende organisaties.,Agriculture
982,BBB,De provincie moet dit soort samenwerkingen meer stimuleren en eventueel faciliteren.,Domestic Commerce
983,BBB,Innovatie wordt ingezet om te reduceren.,Domestic Commerce
984,BBB,Ruimte die ontstaat door vrijwillige bedrijfsbeëindiging wordt ingezet om voor andere agrarische ondernemers continuïteit te bieden.,Domestic Commerce
985,BBB,Als overheid stimuleren we innovatie en zijn bereid risico te nemen.,Domestic Commerce
986,BBB,De RAV-lijst (Regeling Ammoniak en Veehouderij) verdwijnt en wordt vervangen door een geschikt en toegankelijk systeem.,Agriculture
987,BBB,Kleine innovaties moeten makkelijker toegepast kunnen worden in de praktijk.,Domestic Commerce
988,BBB,Dus we sturen op emissies in plaats van gemodelleerde deposities en op bodemkwaliteit in plaats van een oogstkalender.71 VISIE EN VERKIEZINGSPROGRAMMA 2023-2027 We zetten in op het verminderen van bureaucratie en het versimpelen van toetsing en controle van beleid.,Environment
989,BBB,Dit betekent dat een ondernemer niet afhankelijk mag zijn van dure adviesbureaus.,Domestic Commerce
990,BBB,Het gemeen schappelijk landbouwbeleid moet daarom simpeler en stoppen we met de huidige gecombineerde opgave.,Agriculture
991,BBB,"Deze moeten in Europa nu snel toe- gelaten worden, zodat we de voorsprong die wij wereldwijd hebben op het gebied van veredelen van gewassen niet nog verder verliezen.",Agriculture
992,BBB,"Door weerbaardere gewassen te kweken zullen we minder gewas- beschermingsmiddelen, water en kunstmest nodig hebben.",Agriculture
993,BBB,We stimuleren zowel initiatieven voor kleinschalige landbouw als die voor grootschalige en hoogpro- ductieve landbouw.,Agriculture
994,BBB,Beide dragen op een andere wijze bij aan verduurzaming.,Energy
995,BBB,"Er komt geen wettelijke verplichting van biologisch landgebruik, zoals nu in Europa voorgesteld wordt.",Environment
996,BBB,"Marktwerking regelt dat zelf, wanneer de vraag er is, komt het areaal vanzelf.",Government Operations
997,BBB,Alle ketenpartners in de voedselketen worden betrokken en zijn verantwoordelijk voor de realisatie van verduurzamingsdoelstellingen van de landbouw.,Agriculture
998,BBB,Horeca en retail leggen verantwoording af over hun verduurzamingsbeleid en hun impact op de verbetering van de agrarische sector.,Domestic Commerce
999,BBB,We voorkomen de export van onze milieuproblemen door op import van voedsel dezelfde meetlat te leggen als die van onze eigen producten.,Agriculture
1000,BBB,De overheid moet uitsterfconstructies in het visserijvergunningstelsel afschaffen.,Agriculture
1001,BBB,Vergunningen moeten overdraagbaar kunnen zijn omdat dit ruimte biedt om te ondernemen over generaties.,Civil Rights
1002,BBB,De aanlandplicht moet afgeschaft worden.,Government Operations
1003,BBB,"De maatregel zorgt ervoor dat vis die levend overboord gezet had kunnen worden, nu verplicht meegenomen moet worden.",Agriculture
1004,BBB,Minder bijvangst is gewenst maar niet op deze manier.,Agriculture
1005,BBB,We starten geen nieuwbouw van windturbineparken op de Noordzee.,Energy
1006,BBB,"We doen onafhankelijk onder- zoek naar de cumulatieve effecten van windturbineparken op zee voor zowel de bodem, het zeeleven, als de vogels.",Environment
1007,BBB,Het moet mogelijk worden om te vissen in de bestaande windturbineparken.,Environment
1008,BBB,"Zoals bijvoorbeeld op krab en kreeft, of mosselpercelen creëren voor de mosselvisserij.",Agriculture
1009,BBB,"BBB wil dat de overheid proeven in de voordelta voor de mosselvisserij met hangcultuurmosselen toestaat en, als deze succesvol blijken daar ook vergunning voor verleent.",Agriculture
1010,BBB,Daarnaast willen we dat de garnalenvisserij ook behouden moet blijven.,Agriculture
1011,BBB,We onderzoeken de praktische haalbaarheid van de Europese verplichting dat de consument kan zien waar de vis vandaan komt en wie deze gevangen heeft (traceerbaarheid).,Agriculture
1012,BBB,"Geen verplicht cameratoezicht op visserijschepen, we gaan namelijk uit van vakmanschap en vertrouwen.",Environment
1013,BBB,Vergunning- en verbodstelsels kunnen afgeschaft worden.,Government Operations
1014,BBB,Er moet in de nautische wereld meer gedaan worden ter voorkoming van het overboord gooien van afval.,Environment
1015,BBB,Vissers spelen een belangrijke rol in het opruimen van al het afval op zee.,Environment
1016,BBB,"Tevens steunt BBB alle initia- tieven die afvalstromen van vissers doen verminderen, zoals bijvoorbeeld de vervangers van vispluis.",Agriculture
1017,BBB,"Een flexibele viskalender, afhankelijk van de seizoens-omstandigheden in plaats van vaste kalender- maanden.",Agriculture
1018,BBB,Er moet ruimte blijven om (kleinschalige) bevissing van bijzondere soorten in specifieke omgevingen te doen in het kader van het behoud van cultuurhistorie.,Environment
1019,BBB,"De garnalenvisserij moet zo snel mogelijk een verlenging van de Wet Natuurbeschermings (WNB) vergunning krijgen.72 VISIE EN VERKIEZINGSPROGRAMMA 2023-2027NATUUR & BIODIVERSITEIT Voordat we de Europese Herstelwet aanvaarden, maken we een analyse van de sociaaleconomische impact van deze wet, zodat we voor inwerkingtreding de gelegenheid hebben onze implementatie aan te passen op de negatieve effecten van deze wet.",Agriculture
1020,BBB,We geven invulling aan de Natuur- en Habitatrichtlijn en baseren beleid op kwantitatieve en kwalitatieve gegevens.,Environment
1021,BBB,Niet het model maar de vastgestelde staat van flora en fauna is richtinggevend voor beheer en eventuele omgevingsbeperkingen.,Environment
1022,BBB,"We streven in Nederland naar een zorgvuldig en doelgericht flora- en faunabeheer dat verder kijkt dan de Nederlandse grens en rekening houdt met andere negatieve factoren zoals verdroging, vertreding en verlichting.",Environment
1023,BBB,"Bij de inrichting en uitvoering van natuurbeschermingsbeleid, verkiezen we doelsturing boven middelen sturing en conclusies uit praktijk(veld)onderzoek boven theoretische modellen.",Environment
1024,BBB,"Hierbij maken we gebruik van waarnemingen door mensen uit de praktijk zoals jagers, boeren, telers, tuinders en vissers, en betalen voor hun inzet.",Agriculture
1025,BBB,De huidige Stikstofwet gaat van tafel.,Energy
1026,BBB,"Bij de aanpak van stikstofbeleid willen we de focus leggen op natuurkwaliteit, in plaats van dieraantallen, hectares en stikstof.",Environment
1027,BBB,Daarnaast willen we innovatie inzetten om stikstofuitstoot te verminderen en Nederland van het stikstofslot af te halen.,Environment
1028,BBB,Zolang de Stikstofwet er wel is moeten we deze uitvoeren met oog voor mens en ondernemer.,Energy
1029,BBB,De PAS-melders krijgen een generaal pardon en worden daarmee direct gelegaliseerd.,Government Operations
1030,BBB,We creëren in de wet meer ruimte voor afgewogen uitzonderingen.,Government Operations
1031,BBB,"Natuurgebieden zijn in beginsel vrij toegankelijk voor iedereen met respect voor de natuur, behalve daar waar er sprake is van schade aan de natuur door betreding.",Environment
1032,BBB,Zoals het verstoren van broedvogels tijdens het broedseizoen.,Environment
1033,BBB,Boerennatuur is ook natuur.,Environment
1034,BBB,Onderhoud en beheer van natuur besteden we uit aan de lokaal gevestigde agrariërs en beheer van de wildstand aan jagers.,Environment
1035,BBB,Op dit moment wordt 85% van de faunaschade veroorzaakt door ganzen.,Agriculture
1036,BBB,"Niet alles kan overal, daarom is het ook belangrijk dat we op de beperkte ruimte een goed wildbeheer uitvoeren.",Environment
1037,BBB,"Jaarlijks stijgt het aantal verkeersongevallen met wilde dieren en stijgen de kosten voor de tegemoetkoming van fauna- schade, waarbij er geen eindlimiet is aan dit bedrag.",Environment
1038,BBB,In 2022 is er bijvoorbeeld meer dan 44 miljoen euro uitgekeerd terwijl dit in 2014 nog 18 miljoen euro was.,Macroeconomics
1039,BBB,"BBB wil van het probleem de oplossing maken en de jacht op ganzen uitbreiden ten behoeve van mensen die het nodig hebben, zoals bijvoorbeeld voedselbanken en daklozenopvang.",Social Welfare
1040,BBB,"Nederlandse jagers, landbouwers, vissers, ecologische organisaties en terreinbeheerders gaan samen een nieuwe ambitie voor Nederlandse biodiversiteit formuleren.",Environment
1041,BBB,Deze ambitie wordt leidend in de gesprekken met de Europese Unie en maatgevend voor nieuwe Nederlandse doelstellingen.,European Integration
1042,BBB,Natuur past niet op een postzegel en BBB vindt dat er helaas te veel kleine gebieden als Natura 2000 gebied zijn aangewezen.,Environment
1043,BBB,Dit leidt tot onnodige en kostbare beperkingen en onnodige druk op de naastliggende omgeving.,Government Operations
1044,BBB,"We streven naar Natura 2000 gebieden van dermate omvang, dat ze groot genoeg zijn om zichzelf in stand te houden.",Environment
1045,BBB,"Daarom roepen we op tot een herevaluatie op de aange- wezen gebieden, zodat we de natuur een echt perspectief op herstel kunnen bieden.",Environment
1046,BBB,"Soorten en habitats die ten tijde van de toewijzing van een Natura 2000 gebied niet aantoonbaar aanwezig waren, worden geschrapt uit de instandhoudingsdoelen.73 VISIE EN VERKIEZINGSPROGRAMMA 2023-2027 BBB vindt dat een aantal beschermde soorten, waarvan bekend is dat ze ook maatschappelijke proble- men veroorzaken, zoals de zwarte rat, de wolf, de das en de bever in aantal beheerd moet worden.",Environment
1047,BBB,Op gebied van invasieve soorten moet een strikter beleid gevoerd gaan worden dat streeft naar een nulstand voor soorten die hier niet thuishoren.,Environment
1048,BBB,"Denk aan de Japanse duizendknoop, de beverrat, rode rivierkreeft, wasbeer en de nijlgans.",Environment
1049,BBB,"Als het met één soort niet goed gaat, betekent dat niet dat het met het hele natuurgebied slecht gaat.",Environment
1050,BBB,"Soorten en habitats waarvan tellingen ontbreken omdat er geen veldonderzoek is gedaan, worden niet als ‘onvoldoende’ aanwezig bestempeld maar vallen in een aparte categorie namelijk ‘onbekend’.",Environment
1051,BBB,We hoeven niet miljoenen euro’s te besteden om een bepaalde soort in Nederland te houden.,Environment
1052,BBB,"Als het dier of plantje elders in Europa beter past, is het daar beter op zijn plek.",Agriculture
1053,BBB,"Waterschappen zorgen voor veilig wonen en werken achter de dijken, zuiveren het afvalwater en beheren de watersystemen zodat water overlast voorkomen wordt en er voldoende zoet water beschikbaar is voor de voedselproductie.",Environment
1054,BBB,Wij willen ervoor zorgen dat beleid wordt gemaakt door mensen met kennis van de praktijk en voor - komen dat onze waterveiligheid een uitwisselbaar item is tijdens politieke onderhandelingen.,Environment
1055,BBB,Het gebruik van schadelijke stoffen die niet uit ons water kunnen worden gefilterd moet beperkt of verboden kunnen worden.,Environment
1056,BBB,"Daarom zijn we kritisch op industriële lozingen, agrarisch gebruik van chemi - caliën en menselijk medicijngebruik.",Health
1057,BBB,Naast regelgeving is voorlichting van de consument een belangrijk instrument.,Civil Rights
1058,BBB,BBB zegt: Meten = Weten.,Civil Rights
1059,BBB,Daarom willen we dat in water gemeten wordt welke schadelijke stoffen gevonden worden en herleiden wie daarvan de originele eigenaar was.,Environment
1060,BBB,We spreken veroorzakers van lozing of uitspoeling aan.,Law and Crime
1061,BBB,Bij het zuiveren van afvalwater komen veel potentiële grondstoffen vrij.,Environment
1062,BBB,"BBB wil de wetgeving veranderen, zodat deze grondstoffen hergebruikt kunnen worden.",Environment
1063,BBB,"Omdat water zich niet aan de landsgrenzen houdt, is het belangrijk dat er één realistische norm komt in Europa met betrekking tot waterkwaliteit en wet- en regelgeving die handhaving ook grensover- schrijdend mogelijk maakt.",Environment
1064,BBB,"De Kaderrichtlijn water (KRW) is opgesteld in 2000 en door de jaren uitgevoerd, herzien en aangepast.",Environment
1065,BBB,"Het punt is namelijk dat er binnen Europa verschillende normen worden gehanteerd voor waterkwaliteit tussen lidstaten, waarbij Nederland zichzelf in het verleden de strengste eisen heeft opgelegd.",Environment
1066,BBB,Onder de huidige afspraken zullen de Kaderrichtlijn Water doelen niet gehaald worden.,Environment
1067,BBB,"Omdat water zich niet aan de landgrenzen houdt, is dit in het verleden een cruciale fout geweest van onze overheid.",Environment
1068,BBB,BBB wil in Brussel pleiten voor dezelfde spelregels binnen Europa en zo deze fout uit het verleden voor nu en de toekomst herstellen.,European Integration
1069,BBB,"We streven naar realistische doelen binnen een realistisch tijdspad, die haalbaar en betaalbaar zijn.74 VISIE EN VERKIEZINGSPROGRAMMA 2023-2027 Als vruchtbare delta, passeert in Nederland veel zoet water vanuit meerdere Europese landen.",Environment
1070,BBB,"Om de hoeveelheid zoet water in onze rivieren en Zeeland op peil te houden voor een leefbaar Nederland, dienen er afspraken gemaakt te worden in Europa die de verdeling van water organiseren.",Environment
1071,BBB,We zullen in moeten zetten op stuwen en sluizen om de waterafvoer beter te kunnen controleren.,Environment
1072,BBB,"We zien dat de dynamiek van rivieren zoals de Rijn, Waal en de IJssel verandert.",Environment
1073,BBB,Dit vraagt om een duidelijke verdeling van het water richting onze zoetwaterbekkens zoals het IJsselmeer.,Environment
1074,BBB,"Daarom zet BBB in op een betere regionale afstemming tussen meerdere programma’s die het beheer en de veilig- heid van ons water moeten regelen, zodat we voldoende zoet water hebben tijdens droogte.",Environment
1075,BBB,"Onze vruchtbare delta, waar veel voedselproductie plaatsvindt, wordt gevoed met zoet water dat af - komstig is uit onze buurlanden.",Environment
1076,BBB,"Om de hoeveelheid zoet water in onze rivieren op peil te houden en een productief en leefbaar Nederland te garanderen, dienen er binnen Europa afspraken gemaakt te worden die de verdeling van water recht evenredig (rekening houdend met de behoefte en productiviteit van de betreffende gebieden) organiseren.",Environment
1077,BBB,"De beschikbaarheid van drinkwater staat onder druk, terwijl slechts 7% van het geproduceerde drink - water voor menselijke consumptie wordt gebruikt.",Environment
1078,BBB,Bij nieuwbouwwoningen willen we zoveel mogelijk inzetten op het hergebruik van (hemel)water voor bijvoorbeeld het doorspoelen van toiletten.,Environment
1079,BBB,Dit verlicht de druk op de rioolwater- zuivering en vermindert de druk op onze drinkwatervoorraad.,Environment
1080,BBB,"Door grondwaterpeilen regionaal aan te passen, hergebruik van water te stimuleren en waar mogelijk oude watergangen in te zetten, kunnen we water langer vasthouden in de bodem.",Environment
1081,BBB,"Om Nederland te blijven beschermen tegen hoog water, investeren we in dijk -en kustbescherming.",Environment
1082,BBB,"Om de impact van deze bescherming voor dijkbewoners zo minimaal moge- lijk te maken, zetten we in op gebiedsspecifieke dijkverzwaring waarbij een verschil gemaakt wordt tussen zeedijken en rivierdijken.",Environment
1083,BBB,Hier horen nieuwe financiële afspraken en een langetermijnvisie met plannen voor na 2050 bij.,Energy
1084,BBB,"Al die jaren hebben ze de functie van waterberging, natuur en landbouw gehad.",Environment
1085,BBB,BBB wil dat dit karakter behouden blijft en daarom is bijvoorbeeld het bebouwen van deze uiterwaarden ongewenst.,Environment
1086,BBB,"Op veel plekken in Nederland, op klei- en veengrond, is sprake van bodemdaling.",Environment
1087,BBB,Verzilting van water en bodem is al aan de orde.,Environment
1088,BBB,"Dit gaan we tegen door te zorgen voor voldoende zoetwater in sloten, beken en kreken en door voldoende capaciteit te creëren in de bodem om water vast te houden.",Environment
1089,BBB,BBB is voorstander van gedegen onderzoek naar de gevolgen van -en oplossingen voor bodemdaling.,Environment
1090,BBB,"BBB wil een praktische, gebiedsgerichte aanpak en geen generieke maatregelen.",Government Operations
1091,BBB,Het is belangrijk om snel te starten met nulmetingen om bodemdaling beter in kaart te brengen.,Environment
1092,BBB,Voor BBB is het belangrijk dat landbouwkundige bedrijvigheid mogelijk blijft in het veenweidegebied.,Environment
1093,BBB,Pilots met water-infiltratiesystemen en andere maatregelen geven hoopvolle eerste resultaten.,Environment
1094,BBB,Deze zouden op grotere schaal toegepast moeten worden.,Government Operations
1095,BBB,In Nederland wordt vervuilde grond gebruikt om diepe putten bij bijvoorbeeld zandafgravingen te vullen.,Environment
1096,BBB,"De normen voor schone grond zijn momenteel niet scherp genoeg met de nodige gevolgen voor mens, dier en natuur.",Environment
1097,BBB,"Daarom moet er een nieuwe ‘aanpak vervuilde grond’ komen die ervoor zorgt dat de huidige situatie verbetert.75VISIE EN VERKIEZINGSPROGRAMMA 2023-2027 76 VISIE EN VERKIEZINGSPROGRAMMA 2023-2027 Hoofdstuk 7a Onderwijs en Wetenschap 77 VISIE EN VERKIEZINGSPROGRAMMA 2023-2027Voor BBB is de kernvraag hoe we ons onderwijssysteem weer zo inrichten dat kinderen weer goed kunnen lezen, schrijven en rekenen.",Education
1098,BBB,"Wij willen een onderwijssysteem dat minder bloot staat aan bureaucratische elementen met minder managementlagen, waarbij onze onderwijzers, leraren en docenten zich met name bezighouden met hetgeen zij het liefste doen en het beste kunnen: lesgeven.",Education
1099,BBB,"Onderwijzers, leraren en docen - ten betrekken wij intensief bij de opzet en uitvoering van de studie, het is immers hun ervaring die telt.",Education
1100,BBB,Te lang is het onderwijs het afvoerputje van elk maatschappelijk waargenomen probleem geweest.,Education
1101,BBB,Het maakte niet uit welk probleem gesignaleerd werd: op school zou de oplossing hiervoor gevonden moeten worden.,Education
1102,BBB,Dit moet anders.,Civil Rights
1103,BBB,We kiezen bewust voor de ontwikkeling van het kind.,Civil Rights
1104,BBB,Onderwijs gaat weer de driehoek maken tussen school - ouder(s) - kind.,Education
1105,BBB,"Iedereen in de driehoek mag elkaar aanspreken op deze waarden, waarbij er weer vertrouwen moet komen in de professionaliteit van de leraren.",Education
1106,BBB,"BBB streeft naar een inclusief en hoogwaardig onderwijsstelsel dat voor iedereen toegankelijk is, met extra nadruk op het openhouden van scholen, het bevorderen van basisvaardigheden en het behoud van goed onderwijs op alle niveaus.",Education
1107,BBB,Wat ons betreft zetten we in op hoogwaardig onderwijs zowel voor jongeren als voor volwassenen en zowel op theoretisch als op praktisch gebied.,Education
1108,BBB,Naast gelijke kansen voor iedereen vinden wij de ontwikkeling van sociale vaardigheden erg belangrijk.,Civil Rights
1109,BBB,Het onderwijs heeft hierin een belangrijke rol.,Education
1110,BBB,Het is van wezenlijk belang dat kleinere scholen openblijven.,Education
1111,BBB,"Handhaving van basisscholen in de kernen draagt bij aan de toekomstige levensvatbaarheid van deze kernen, doordat ouders met kinderen in kernen kunnen blijven wonen.",Social Welfare
1112,BBB,"Daarnaast hecht BBB veel waarde aan het vergroten van de weerbaarheid van leerlingen, scholieren en studenten zodat zij kritisch kunnen denken en hun zorgen kunnen delen.",Education
1113,BBB,"De verbinding die uit het kritische denken tussen onderwijs en bedrijfsleven ontstaat is, volgens ons van cruciaal belang voor innovatie en ontwikkeling.",Education
1114,BBB,Scholieren van het voortgezet onderwijs dienen hun opleiding nabij huis te kunnen volgen.,Education
1115,BBB,"Leerlingen met een lichamelijke beperking of chronische ziekte dienen, net als hun leeftijdsgenootjes, naar de plaatselijke school te kunnen gaan.",Education
1116,BBB,Binnen het onderwijs in Nederland dient meer aandacht te komen voor kwalitatief goed volwassenen- onderwijs dat voor iedereen in Nederland toegankelijk is.,Education
1117,BBB,Dit is ook van belang voor de bijscholing en omscholing in het kader van een ‘leven lang leren’.,Education
1118,BBB,GOED ONDERWIJS TOEGANKELIJK VOOR IEDEREEN78 VISIE EN VERKIEZINGSPROGRAMMA 2023-2027Ook kwalitatief goed speciaal onderwijs voor leerlingen met een ontwikkelingsachterstand vinden we erg belangrijk.,Education
1119,BBB,Een herbeoordeling van de huidige structuur waarbij speciaal onderwijs (deels) een onderdeel is van het overige onderwijs dient wat ons betreft plaats te vinden.,Education
1120,BBB,Ons uitgangspunt hierbij is dat we leerlingen die speciaal onderwijs nodig hebben door middel van passend onderwijs ondersteunen om hun plek in onze maatschappij te vinden en hun bijdrage aan de maatschappij te kunnen leveren.,Education
1121,BBB,De vrijheid van onderwijs dient behouden te worden.,Education
1122,BBB,TOEGANKELIJKHEID Thuis nabij onderwijs wordt de norm.,Education
1123,BBB,Het openhouden van scholen in de regio krijgt prioriteit.,Education
1124,BBB,Bij nieuw beleid wordt een ‘krimpcheck’ toegepast.,Government Operations
1125,BBB,Bijvoorbeeld bij het invoeren van nieuwe onderwijs- regels wordt gecheckt wat deze regels voor gevolgen hebben voor de scholen op het platteland.,Education
1126,BBB,BBB is voor het behoud van basisscholen in de kleinere kernen.,Education
1127,BBB,"Deze basisscholen dienen zo lang mogelijk behouden te blijven, ook al zakt het aantal leerlingen onder de huidige landelijke grens.",Education
1128,BBB,Elke regio in Nederland heeft een dekkend aanbod van beroepsopleidingen.,Education
1129,BBB,BBB wil (meer) avondscholen voor volwassenen met praktische beroepen realiseren zoals in onze buurlanden al het geval is.,Education
1130,BBB,"Om toegankelijkheid voor Nederlandse studenten te verzekeren, beperken we de toestroom van stu- denten uit het buitenland.",Education
1131,BBB,Zie ook de paragraaf over migratie.,Immigration
1132,BBB,KWALITEIT We vinden het belangrijk dat jongeren beschikken over goede leesvaardigheid en voldoende kennis van de eigen taal en cultuur.,Civil Rights
1133,BBB,Daarom moet er zowel op de basis- als middelbare school meer aandacht komen voor deze basisvaardigheden.,Education
1134,BBB,Er moet meer voorlichting en positieve aandacht komen voor de praktische sector binnen het onderwijs en daarom komen er meer techniek/praktijklessen op de basis- en middelbare school.,Education
1135,BBB,We praten alleen nog over theoretisch opge leiden en praktisch opgeleiden.,Education
1136,BBB,"Dit moet ook in de naamstelling naar voren komen, zoals bijvoor- beeld: MBO wordt Praktisch Beroeps Onderwijs (PBO) HBO wordt Theoretisch Beroeps Onderwijs (TBO) WO blijft Wetenschappelijk Onderwijs (WO) Op alle onderwijsniveaus, te beginnen in het basisonderwijs, dient voorlichting over de digitale sa- menleving plaats te vinden.",Education
1137,BBB,Deze moet zowel aan docenten als aan leerlingen gegeven worden.,Education
1138,BBB,Het aanleren van digitale geletterdheid in het onderwijs is essentieel om ervoor te zorgen dat alle leerlingen de vaardigheden ontwikkelen die nodig zijn om effectief en zelfverzekerd te kunnen navi- geren in een steeds veranderende technologische samenleving.,Education
1139,BBB,Onderwijsassistenten moeten deelopleidingen met verkrijging van een certificaat op de PABO kunnen volgen.,Education
1140,BBB,Zo maak je het mogelijk om docenten in het primair onderwijs te krijgen op vakniveau.,Education
1141,BBB,De administratielast voor leraren wordt verlaagd.79 VISIE EN VERKIEZINGSPROGRAMMA 2023-2027 We willen inzetten op beter passend onderwijs voor leerlingen met een ontwikkelingsachterstand.,Education
1142,BBB,"Indien daar extra investeringen, bijvoorbeeld in personeel en/of lesaanbod voor nodig zijn, ondersteunen we deze.",Education
1143,BBB,"Passend onderwijs voor leerlingen met een ontwikkelingsachterstand is voor de ene leerling een school die hier speciaal voor is ingericht, voor een andere leerling kan dit een ‘reguliere’ school zijn.",Education
1144,BBB,Daarnaast worden enkele onderdelen uit de oude LTS en Huishoudschool nogal gemist.,Education
1145,BBB,"BBB kiest daarom in de eindtermen van het eerste jaar op de middelbare school, voor het aanleren van praktische vaardigheden.",Education
1146,BBB,Vaardig- heden die nodig zijn voor ons dagelijks privéleven.,Civil Rights
1147,BBB,Het concept ‘Brede Scholen’ wordt via maatwerk per situatie door de eindgebruikers vormgegeven.,Education
1148,BBB,De hoogte van de nieuw ingevoerde basisbeurs wordt beoordeeld en verhoogd indien blijkt dat deze te laag is.,Domestic Commerce
1149,BBB,Wij zijn voor een eerlijke compensatie voor de pechgeneratie.,Domestic Commerce
1150,BBB,De aangekondigde compensatie is wat ons betreft niet voldoende.,Domestic Commerce
1151,BBB,Er komt geen rente op bestaande studieschuld.,Education
1152,BBB,En de studieschuld mag niet meegenomen worden bij een hypotheekaanvraag.,Domestic Commerce
1153,BBB,"De Nederlandse samenleving zit veel meer te wachten op meer vakwerk, daarom moeten we opleidingen daarvoor in ere herstellen, zodat werk en onderwijs weer in balans komen.",Education
1154,BBB,"We moeten het aantrekkelijker maken om een vakopleiding te doen, waarbij leren in de praktijk van leermeesters centraal staat.",Education
1155,BBB,SPECIAAL ONDERWIJS Kinderen moet geleerd worden dat zij meer zijn dan ‘het label dat de maatschappij hen opplakt’.,Civil Rights
1156,BBB,Het speciaal onderwijs moet er naar streven leerlingen school te laten verlaten met een diploma of baan.,Education
1157,BBB,We moeten inzetten op passend onderwijs voor leerlingen met een ontwikkelingsachterstand.,Education
1158,BBB,Er wordt ingezet op passend onderwijs voor iedereen die dit nodig heeft.,Education
1159,BBB,Het concept Samen Naar School biedt hier een goede oplossing voor.,Education
1160,BBB,Het speciaal onderwijs moet kinderen dezelfde kansen bieden als in het reguliere onderwijs.,Education
1161,BBB,"Daarvoor is een investering in het speciaal onderwijs noodzakelijk, zowel in het personeel als in het lesaanbod.",Education
1162,BBB,Staatsexamens voor het VSO (Voortgezet Speciaal Onderwijs) moeten binnen het schooljaar kunnen worden gemaakt.,Education
1163,BBB,"Er komen strengere eisen aan de uitbesteding van leerlingenvervoer, om malafide vervoerders tegen te gaan.",Transportation
1164,BBB,Als leerlingen in het speciaal onderwijs verklaarbaar meer verzuimen dan 50% kan er geen sprake zijn van het wegvallen van de financiering voor de school.,Education
1165,BBB,"Om deze positie te behouden, is het essentieel om te blijven investeren in de samenwerking tussen ons onderwijs, de bedrijven en de overheid.",Education
1166,BBB,"BBB is van mening dat de Rijksoverheid een grotere verbinding tussen de wetenschap, ons onderwijs en het bedrijfsleven dient te stimuleren.",Education
1167,BBB,"BBB is van mening dat de Rijksoverheid moet blijven investeren in de versterking van wetenschappelijk onderzoek, zodat een langetermijnvisie kan worden ontwikkeld voor de diverse grote vraagstukken van onze maatschappij.",Education
1168,BBB,"We stimuleren ook een betere verbinding tussen Hogescholen en onze (MKB-) bedrijven in Nederland , bijvoorbeeld op het gebied van digitalisering en verduurzaming.",Education
1169,BBB,Op deze wijze wordt op een natuur- lijke manier ook gebruik gemaakt van de praktische kennis van onze vaak innovatieve bedrijven en zijn zij betrokken bij en op de hoogte van dit onderzoek.,Domestic Commerce
1170,BBB,Menselijke besluitvorming moet altijd leidend zijn en de uitkomsten van modellen moeten altijd door mensen op hun waarde worden getoetst.,Civil Rights
1171,BBB,Het belang van de kwaliteit van wetenschap staat voorop; objectieve wetenschap zonder vermenging van financiering (publiek en/of privaat) door belanghebbenden of vermenging met politieke meningen is het uitgangspunt.,Civil Rights
